System,E_K,G(PCM)_non_opt,G(PCM)_opt,G(Vac),ΔG_non_opt (kJ/mol),ΔG_opt (kJ/mol)
,23.5,-941.110393231,-941.11040788,-941.027350628,-218.028320959373,-218.066781903108
,24,-941.110471901,-941.110486571,-941.027350628,-218.234869012887,-218.273385092128
,24.5,-941.110547378,-941.11056207,-941.027350628,-218.433033846186,-218.471607686404
,25,-941.110619855,-941.110634566,-941.027350628,-218.623322180704,-218.661945905483
,25.5,-941.110689505,-941.110704235,-941.027350628,-218.806188227845,-218.844861836888
,26,-941.110756492,-941.11077124,-941.027350628,-218.982062569467,-219.0207834376
,26.5,-941.110820965,-941.110835731,-941.027350628,-219.15133640535,-219.190104532275
,27,-941.110883064,-941.110897846,-941.027350628,-219.314377304836,-219.353187439907
,27.5,-941.110942916,-941.110957714,-941.027350628,-219.471518707025,-219.510370850242
,28,-941.111000643,-941.111015456,-941.027350628,-219.623080922466,-219.661972448059
,28.5,-941.111056355,-941.111071179,-941.027350628,-219.769352756046,-219.808273162128
,29,-941.111110157,-941.111124994,-941.027350628,-219.91060988559,-219.949564423105
,29.5,-941.111162144,-941.111176995,-941.027350628,-220.047101733312,-220.086093028029
,30,-941.111212407,-941.111227267,-941.027350628,-220.179067219833,-220.218082143797
,30.5,-941.11126103,-941.111275903,-941.027350628,-220.306726886879,-220.345775942274
,31,-941.111308093,-941.111322974,-941.027350628,-220.430290774582,-220.469360834051
,31.5,-941.11135367,-941.111368562,-941.027350628,-220.54995316965,-220.589052109906
,32,-941.111397829,-941.111412729,-941.027350628,-220.665892606556,-220.705012550587
,32.5,-941.111440636,-941.111455547,-941.027350628,-220.778282367933,-220.817431192452
,33,-941.111482152,-941.111497069,-941.027350628,-220.887282609353,-220.926447187002
,33.5,-941.111522435,-941.111537362,-941.027350628,-220.993045609676,-221.032236442342
,34,-941.111561539,-941.111576472,-941.027350628,-221.095713146172,-221.134919731668
,34.5,-941.111599514,-941.111614453,-941.027350628,-221.195416493327,-221.234638831953
,35,-941.11163641,-941.111651358,-941.027350628,-221.292286926525,-221.331532894696
,35.5,-941.111672271,-941.111687224,-941.027350628,-221.386439967719,-221.42569906325
,36,-941.11170714,-941.111722099,-941.027350628,-221.477988513394,-221.517263361755
,36.5,-941.111741059,-941.111756026,-941.027350628,-221.56704283426,-221.606338686695
,37,-941.111774065,-941.111789036,-941.027350628,-221.653700073971,-221.693006428591
,37.5,-941.111806194,-941.11182117,-941.027350628,-221.738054750706,-221.777374232685
,38,-941.111837482,-941.111852465,-941.027350628,-221.820201382346,-221.859539242629
,38.5,-941.11186796,-941.111882948,-941.027350628,-221.900221359116,-221.939572347056
,39,-941.111897661,-941.111912652,-941.027350628,-221.978201322481,-222.017560187135
,39.5,-941.111926612,-941.111941607,-941.027350628,-222.054212161673,-222.093581527916
,40,-941.111954843,-941.111969841,-941.027350628,-222.128332640848,-222.167709883805
,40.5,-941.11198238,-941.111997385,-941.027350628,-222.200631023168,-222.240026644727
,41,-941.112009248,-941.112024256,-941.027350628,-222.271172946624,-222.310576444598
,41.5,-941.112035471,-941.112050482,-941.027350628,-222.340021422539,-222.379432796928
,42,-941.112061073,-941.112076086,-941.027350628,-222.407239463133,-222.446656088764
,42.5,-941.112086074,-941.11210109,-941.027350628,-222.472879578737,-222.512304080784
,43,-941.112110496,-941.112125519,-941.027350628,-222.536999530032,-222.576442410381
,43.5,-941.112134359,-941.112149384,-941.027350628,-222.599651827049,-222.639099958343
,44,-941.112157682,-941.11217271,-941.027350628,-222.660886354054,-222.700342362061
,44.5,-941.112180483,-941.112195513,-941.027350628,-222.720750370434,-222.760211629385
,45,-941.112202779,-941.112217811,-941.027350628,-222.779288509508,-222.818755019702
,45.5,-941.112224587,-941.112239621,-941.027350628,-222.836545404896,-222.876017165735
,46,-941.112245922,-941.112260962,-941.027350628,-222.892560438973,-222.932047952941
,46.5,-941.1122668,-941.112281842,-941.027350628,-222.947375619587,-222.986868384498
