,E_K,G(PCM)_non_opt,G(PCM)_opt,G(Vac),ΔG_non_opt (kJ/mol),ΔG_opt (kJ/mol)
,51,-1828.01316399,-1828.01361737,-1827.94228247,-186.099402407542,-187.289751416068
,51.5,-1828.01317869,-1828.01363235,-1827.94228247,-186.137997251236,-187.329081400234
,52,-1828.01319312,-1828.01364705,-1827.94228247,-186.175883210969,-187.367676243928
,52.5,-1828.01320726,-1828.01366148,-1827.94228247,-186.213007774915,-187.40556220366
,53,-1828.01322115,-1828.01367563,-1827.94228247,-186.249475964335,-187.442713022921
,53.5,-1828.01323477,-1828.01368952,-1827.94228247,-186.285235269197,-187.479181212342
,54,-1828.01324814,-1828.01370315,-1827.94228247,-186.320338198936,-187.514966771922
,54.5,-1828.01326127,-1828.01371653,-1827.94228247,-186.354811008272,-187.55009595638
,55,-1828.01327416,-1828.01372967,-1827.94228247,-186.388653698398,-187.584595021031
,55.5,-1828.01328682,-1828.01374258,-1827.94228247,-186.421892523435,-187.61849022119
,56,-1828.01329926,-1828.01375525,-1827.94228247,-186.454553738102,-187.651755300945
,56.5,-1828.01331147,-1828.0137677,-1827.94228247,-186.486611088277,-187.684442770928
,57,-1828.01332347,-1828.01377994,-1827.94228247,-186.518117083397,-187.716578885855
,57.5,-1828.01333527,-1828.01379196,-1827.94228247,-186.549097978778,-187.748137391009
,58,-1828.01334686,-1828.01380378,-1827.94228247,-186.579527519104,-187.779170796424
,58.5,-1828.01335825,-1828.01381539,-1827.94228247,-186.609431959691,-187.809652846783
,59,-1828.01336945,-1828.01382681,-1827.94228247,-186.638837555256,-187.839636052122
,59.5,-1828.01338047,-1828.01383801,-1827.94228247,-186.667770560518,-187.869041647687
,60,-1828.0133913,-1828.01384906,-1827.94228247,-186.696204721356,-187.898053418298
,60.5,-1828.01340195,-1828.01385991,-1827.94228247,-186.724166291891,-187.92654008917
,61,-1828.01341243,-1828.0138706,-1827.94228247,-186.751681528036,-187.954606679772
,61.5,-1828.01342274,-1828.01388111,-1827.94228247,-186.778750428596,-187.982200680669
,62,-1828.01343288,-1828.01389145,-1827.94228247,-186.805372994765,-188.009348346577
,62.5,-1828.01344286,-1828.01390162,-1827.94228247,-186.831575480665,-188.036049677499
,63,-1828.01345268,-1828.01391164,-1827.94228247,-186.857357886893,-188.062357183466
,63.5,-1828.01346235,-1828.01392149,-1827.94228247,-186.882746468167,-188.088218354446
,64,-1828.01347187,-1828.0139312,-1827.94228247,-186.907741224487,-188.11371195519
,64.5,-1828.01348124,-1828.01394075,-1827.94228247,-186.932342155256,-188.138785476859
,65,-1828.01349047,-1828.01395016,-1827.94228247,-186.956575516983,-188.163491427695
,65.5,-1828.01349955,-1828.01395942,-1827.94228247,-186.980415053159,-188.187803554175
,66,-1828.0135085,-1828.01396855,-1827.94228247,-187.003913274416,-188.211774365734
,66.5,-1828.01351732,-1828.01397754,-1827.94228247,-187.027070180752,-188.235377607057
,67,-1828.013526,-1828.01398639,-1827.94228247,-187.049859517449,-188.258613278145
,67.5,-1828.01353456,-1828.01399511,-1827.94228247,-187.072333793944,-188.28150763491
,68,-1828.01354299,-1828.01400371,-1827.94228247,-187.094466755519,-188.304086931473
