,E_K,G(PCM)_non_opt,G(PCM)_opt,G(Vac),ΔG_non_opt (kJ/mol),ΔG_opt (kJ/mol)
,60,-761.222264191,-761.22227601,-761.132815227,-234.848219202374,-234.879249982018
,60.5,-761.222276791,-761.222288614,-761.132815227,-234.88130049731,-234.91234177914
,61,-761.222289184,-761.222301011,-761.132815227,-234.913838313906,-234.944890097623
,61.5,-761.222301376,-761.222313207,-761.132815227,-234.945848404991,-234.976910690596
,62,-761.222313372,-761.222325207,-761.132815227,-234.977343898224,-235.008416686015
,62.5,-761.222325175,-761.222337014,-761.132815227,-235.008332670021,-235.039415959698
,63,-761.222336792,-761.222348635,-761.132815227,-235.038833098683,-235.069926890547
,63.5,-761.222348226,-761.222360072,-761.132815227,-235.068853061224,-235.099954729503
,64,-761.222359481,-761.222371331,-761.132815227,-235.098403059232,-235.129515229399
,64.5,-761.222370561,-761.222382415,-761.132815227,-235.127493594894,-235.158616266948
,65,-761.222381472,-761.222393329,-761.132815227,-235.15614042104,-235.187270969808
,65.5,-761.222392216,-761.222404077,-761.132815227,-235.184348788614,-235.215489839269
,66,-761.222402797,-761.222414661,-761.132815227,-235.212129199802,-235.243278127171
,66.5,-761.222413219,-761.222425087,-761.132815227,-235.239492156789,-235.270651586045
,67,-761.222423486,-761.222435357,-761.132815227,-235.266448161164,-235.297615466836
,67.5,-761.222433601,-761.222445475,-761.132815227,-235.293005089642,-235.32418027173
,68,-761.222443567,-761.222455445,-761.132815227,-235.319170818638,-235.350356502912
,68.5,-761.222453388,-761.222465269,-761.132815227,-235.344955850039,-235.376149411027
,69,-761.222463066,-761.22247495,-761.132815227,-235.370365435386,-235.401566872491
,69.5,-761.222472606,-761.222484493,-761.132815227,-235.395412701442,-235.42662201526
,70,-761.222482009,-761.222493899,-761.132815227,-235.420100274274,-235.451317464507
,70.5,-761.222491279,-761.222503172,-761.132815227,-235.444438655471,-235.475663722121
,71,-761.222500418,-761.222512314,-761.132815227,-235.468433096277,-235.49966603964
,71.5,-761.22250943,-761.222521329,-761.132815227,-235.492094098578,-235.523334918357
,72,-761.222518316,-761.222530218,-761.132815227,-235.515424288144,-235.546672984338
,72.5,-761.22252708,-761.222538985,-761.132815227,-235.538434166565,-235.569690739473
,73,-761.222535724,-761.222547632,-761.132815227,-235.561128985082,-235.592393434406
,73.5,-761.222544251,-761.222556161,-761.132815227,-235.58351662041,-235.614786320678
,74,-761.222552662,-761.222564576,-761.132815227,-235.605599697423,-235.636879899578
,74.5,-761.222560961,-761.222572877,-761.132815227,-235.627388718606,-235.658674171705
,75,-761.222569149,-761.222581068,-761.132815227,-235.648886309431,-235.680179638945
,75.5,-761.222577228,-761.22258915,-761.132815227,-235.670097720542,-235.70139892677
,76,-761.222585201,-761.222597126,-761.132815227,-235.691030828953,-235.722339911596
,76.5,-761.222593071,-761.222604997,-761.132815227,-235.711693510779,-235.743005218895
,77,-761.222600838,-761.222612767,-761.132815227,-235.732085766022,-235.763405350852
,77.5,-761.222608505,-761.222620436,-761.132815227,-235.752215471694,-235.783540307467
,78,-761.222616073,-761.222628008,-761.132815227,-235.772085252669,-235.803420590329
,78.355,-761.222621388,-761.222633325,-761.132815227,-235.78603978292,-235.817380371524
,78.5,-761.222623545,-761.222635482,-761.132815227,-235.791702985662,-235.823043574266
,79,-761.222630923,-761.222642863,-761.132815227,-235.811073921616,-235.842422386934
,79.5,-761.222638208,-761.22265015,-761.132815227,-235.830200686301,-235.861554402563
,80,-761.222645402,-761.222657346,-761.132815227,-235.849088530363,-235.880447497569
