#time,msd
1768.0,431084.68265220325
1772.0,429441.87985356175
1776.0,429918.35099355225
1780.0,430201.58957529115
1784.0,432139.022932562
1788.0,433914.968718146
1792.0,434991.8705754813
1796.0,435726.423788879
1800.0,434556.6522804755
1804.0,437692.54940217506
1808.0,438220.1230186567
1812.0,437988.03112623596
1816.0,438336.66607289657
1820.0,438948.33795505343
1824.0,443527.3141685687
1828.0,443451.5525179141
1832.0,442836.4632639582
1836.0,440772.21385295544
1840.0,440672.3213601999
1844.0,441695.9623776901
1848.0,444326.2242344247
1852.0,442846.45908428734
1856.0,439977.1440847131
1860.0,439884.9254846737
1864.0,436488.86906080524
1868.0,434911.32540944964
1872.0,436052.89168168954
1876.0,435156.2645783422
1880.0,435276.80939631123
1884.0,433417.1203680737
1888.0,431555.0373558365
1892.0,429160.8532401815
1896.0,429318.0748123767
1900.0,429803.61034106545
1904.0,428564.26073657814
1908.0,427955.15965764463
1912.0,428745.52694546373
1916.0,427922.38709503616
1920.0,426313.7368789906
1924.0,429337.83216540323
1928.0,427994.13064751145
1932.0,429518.2655139242
1936.0,428057.67688165023
1940.0,427873.3226503108
1944.0,429659.90090263804
1948.0,429078.70933260815
1952.0,427703.5198399395
1956.0,427687.7273950493
1960.0,428864.61755895737
1964.0,428756.33483880135
1968.0,431704.2422342797
1972.0,431992.82610841695
1976.0,431750.17814502737
1980.0,433113.905369521
1984.0,432829.1828621834
1988.0,433124.45311671175
1992.0,433016.84105084016
1996.0,434173.7611832587
2000.0,435219.4629852016
2004.0,437983.8275956425
2008.0,438352.4401180341
2012.0,435495.26675517805
2016.0,435921.3183485581
2020.0,436289.03327232535
2024.0,440576.2888553305
2028.0,438848.0274434121
2032.0,439356.1819314861
2036.0,440021.22202529147
2040.0,439802.7066166289
2044.0,441162.9882918618
2048.0,441415.50558425905
2052.0,441063.0072491839
2056.0,441292.00593780424
2060.0,442902.802997686
2064.0,442806.53023961646
2068.0,441545.3800854621
2072.0,442531.0053465959
2076.0,440442.37548190093
2080.0,437705.9952050947
2084.0,435751.1605806894
2088.0,436018.32630967174
2092.0,434890.201193257
2096.0,435306.1664929354
2100.0,433522.29958506307
2104.0,431890.3623943948
2108.0,431902.64145208633
2112.0,432233.57171139354
2116.0,432940.6276732738
2120.0,432222.687123564
2124.0,430262.25342546386
2128.0,432535.06682489754
2132.0,431902.1601536191
2136.0,434482.33176880085
2140.0,435083.5775397706
2144.0,435673.65183010366
2148.0,434231.9733721265
2152.0,433927.5457988913
2156.0,435133.6629090981
2160.0,435623.9200102314
2164.0,432521.01394856814
2168.0,433266.08637420234
2172.0,432645.80839828454
2176.0,431088.3373604839
2180.0,431696.35341007024
2184.0,431089.5888048404
2188.0,434731.38278540183
2192.0,436102.2143469202
2196.0,435257.5360005755
2200.0,433369.28510561667
2204.0,433282.63194084674
2208.0,434007.9239474021
2212.0,431282.00139979494
2216.0,431076.1843902909
2220.0,431530.80837064394
2224.0,430312.1635482285
2228.0,428145.21554442594
2232.0,425468.48514218454
2236.0,424168.5050889288
2240.0,425625.79583573306
2244.0,424856.27944262873
2248.0,420972.1853629131
2252.0,420702.61690038256
2256.0,419827.73221755284
2260.0,420304.32618011546
2264.0,417699.3671311107
2268.0,419123.92686370993
2272.0,418539.9133855068
2276.0,418534.10890914506
2280.0,419913.56618925993
2284.0,419437.03800983913
2288.0,424102.2849327643
2292.0,420394.7294169697
2296.0,423982.18699546315
2300.0,422428.5062724375
2304.0,425640.9492199363
2308.0,427547.1754093318
2312.0,428597.8844380484
2316.0,430660.5697398901
2320.0,431300.1732888786
2324.0,430812.44422285946
2328.0,433070.4442960774
2332.0,434625.2407179264
2336.0,431650.49569964915
2340.0,433744.90615730674
2344.0,431915.1952061063
2348.0,433051.52726794477
2352.0,433490.80315910804
2356.0,433817.63306480885
2360.0,430826.0909271767
2364.0,432108.7337691907
2368.0,432580.9058724624
2372.0,432565.71394914226
2376.0,433527.52157749207
2380.0,434993.82465526625
2384.0,435306.75695565756
2388.0,435376.71224019805
2392.0,435684.47111899476
2396.0,436846.5382854298
2400.0,434952.51595255715
2404.0,433938.4840671062
2408.0,435077.17136967584
2412.0,434267.49432239373
2416.0,434351.9056479352
2420.0,435576.0317583152
2424.0,438003.6436074115
2428.0,434755.1974663531
2432.0,438100.0623909116
2436.0,440046.43631167756
2440.0,440496.7091824294
2444.0,439326.36488774687
2448.0,439456.2190687523
2452.0,443052.5939864795
2456.0,442350.8255696181
2460.0,446341.34762704826
2464.0,445760.5441635613
2468.0,447027.71656011854
2472.0,448586.479551159
2476.0,446442.81473459717
2480.0,448654.5963071372
2484.0,450102.29998692893
2488.0,448371.61073426553
2492.0,449298.14466347103
2496.0,449832.22562629514
2500.0,450010.2620019275
2504.0,448730.23043801624
2508.0,449935.8754079882
2512.0,448539.599648259
2516.0,448996.6654913962
2520.0,449196.1511329336
2524.0,451170.06155812
2528.0,452763.44227689586
2532.0,452757.8107953472
2536.0,449928.75115131406
2540.0,450358.5886004522
2544.0,450223.08700769785
2548.0,449899.5607202015
2552.0,448685.5297563669
2556.0,449058.0665081084
2560.0,447537.16042068624
2564.0,445919.75182320026
2568.0,446546.9955960357
2572.0,446805.1782940263
2576.0,443734.2175782024
2580.0,442957.05804867274
2584.0,446303.5962030003
2588.0,446132.871319808
2592.0,445255.54343523795
2596.0,444388.2306671425
2600.0,445169.87400609144
2604.0,442209.36085813434
2608.0,442603.448222832
2612.0,440900.1242855267
2616.0,437696.8190542033
2620.0,438871.9949933326
2624.0,437199.7229406134
2628.0,436313.3117329747
2632.0,432055.2719252913
2636.0,429122.71662324213
2640.0,429543.30548658816
2644.0,426905.4068511511
2648.0,426228.47305798
2652.0,426390.7238660607
2656.0,425733.77522772347
2660.0,423131.66365807387
2664.0,424739.63985758583
2668.0,425859.6510237819
2672.0,425314.2013288504
2676.0,426005.2437473681
2680.0,424740.7961938228
2684.0,427649.563486771
2688.0,427379.8718318628
2692.0,429950.53026756074
2696.0,427411.8565187721
2700.0,426335.13311594195
2704.0,426513.0660247948
2708.0,426960.15281470935
2712.0,425903.4256798991
2716.0,425564.8190347799
2720.0,425053.42766060244
2724.0,425901.44405175874
2728.0,424952.7987591173
2732.0,421615.5322542953
2736.0,419407.7783083072
2740.0,421124.87947018555
2744.0,419021.16253534675
2748.0,420568.46268039057
2752.0,418225.2687332115
2756.0,415420.8240285241
2760.0,414414.24772307917
2764.0,417352.8646424051
2768.0,418156.60641962406
2772.0,416197.59355596034
2776.0,414429.39416880795
2780.0,416178.3625898873
2784.0,418333.2819465269
2788.0,419905.8209070564
2792.0,420241.9096692448
2796.0,422112.69124734635
2800.0,422810.46910654486
2804.0,421140.26123333024
2808.0,422207.8855144899
2812.0,425644.8239229201
2816.0,427088.53164457076
2820.0,429502.8183601245
2824.0,427567.68928784644
2828.0,428061.0708550686
2832.0,428907.2753088933
2836.0,428823.70859765843
2840.0,431239.71844212775
2844.0,428192.69145796803
2848.0,429999.6511911992
2852.0,430281.7029030769
2856.0,431990.98333042924
2860.0,433070.23042773624
2864.0,432170.102840258
2868.0,434084.1484018053
2872.0,433613.4840638365
2876.0,432492.737901228
2880.0,433201.91543354
2884.0,433172.95328662195
2888.0,433005.6143928191
2892.0,433642.93552523875
2896.0,431432.11759736313
2900.0,431558.9863765497
2904.0,431282.29088261916
2908.0,431512.54911386466
2912.0,429416.7297515585
2916.0,429429.98859761975
2920.0,427234.46672855184
2924.0,427255.49208428385
2928.0,425554.42565434653
2932.0,425911.2119180813
2936.0,422656.82377082156
2940.0,424473.85607186274
2944.0,420991.3626782212
2948.0,420236.42017264216
2952.0,419457.2945685943
2956.0,420209.9724857117
2960.0,422154.2757376021
2964.0,417477.21375643834
2968.0,417087.88930958125
2972.0,415928.974064226
2976.0,417039.2576161547
2980.0,415215.3625384282
2984.0,418787.14319391013
2988.0,418441.08595439716
2992.0,414681.8881888603
2996.0,416367.70582418505
3000.0,417723.1771653859
3004.0,416764.59807947144
3008.0,414795.52492295107
3012.0,415772.32570543437
3016.0,415102.4656900588
3020.0,416105.1912563573
3024.0,415745.91182245157
3028.0,415898.2407186063
3032.0,411950.0683123962
3036.0,413563.60725500126
3040.0,410510.4951647545
3044.0,408173.8579521939
3048.0,407375.18339443306
3052.0,407689.7825390084
3056.0,406884.1706574329
3060.0,409971.97881861136
3064.0,409084.02006228856
3068.0,409943.90698645957
3072.0,407154.9223815497
3076.0,408437.553363907
3080.0,407765.46678500436
3084.0,406834.12695399404
3088.0,409464.022220928
3092.0,407423.81257235055
3096.0,407768.1977073418
3100.0,405400.9397294028
3104.0,404483.1306463473
3108.0,406338.88247215183
3112.0,407185.8630279398
3116.0,404346.91845405125
3120.0,402400.13548593206
3124.0,403153.5285355842
3128.0,401916.80253342126
3132.0,403730.31526816264
3136.0,405230.8218272624
3140.0,404820.304052643
3144.0,405237.46933488094
3148.0,404638.0700010438
3152.0,405955.18908589706
3156.0,405982.3990173689
3160.0,406258.5391387893
3164.0,406241.4953260813
3168.0,406000.79916371166
3172.0,406987.4892951831
3176.0,408442.4890790414
3180.0,408805.8812026754
3184.0,408769.5915766098
3188.0,405513.1435669731
3192.0,408808.6127363719
3196.0,410847.5905455503
3200.0,411014.96445704025
3204.0,408998.62052402925
3208.0,411549.3817541123
3212.0,411679.68987430015
3216.0,412252.21832336945
3220.0,413420.84258306003
3224.0,414032.2383449045
3228.0,413300.46307667147
3232.0,409685.13634858
3236.0,412000.90651645354
3240.0,412908.38695848547
3244.0,415217.92849412793
3248.0,415798.0981937313
3252.0,416079.41887278564
3256.0,414571.8798605182
3260.0,415637.58017441037
3264.0,414985.3544869509
3268.0,414122.2883142043
3272.0,411649.5806429751
3276.0,411105.58305383724
3280.0,411947.7805732135
3284.0,410879.34187834617
3288.0,409835.7299515505
3292.0,410945.0825486451
3296.0,410722.61588005355
3300.0,410471.44111357856
3304.0,411320.56098981784
3308.0,412121.9927068767
3312.0,410014.7124014206
3316.0,405670.73235904827
3320.0,408598.25094753876
3324.0,407134.0011967673
3328.0,407584.48438949283
3332.0,407709.6023680729
3336.0,408174.1842568141
3340.0,407461.87669154664
3344.0,407204.5587939723
3348.0,409881.39647011075
3352.0,410119.01122065727
3356.0,409041.04104790714
3360.0,410785.7742105824
3364.0,409930.76216178085
3368.0,412174.24550237105
3372.0,412565.22365217353
3376.0,411889.2240193684
3380.0,412063.1249594316
3384.0,413457.8290009285
3388.0,414840.97595418984
3392.0,413818.7048199257
3396.0,414180.0990786774
3400.0,410816.255993171
3404.0,411821.9500304094
3408.0,412233.2938849879
3412.0,410824.6882200194
3416.0,411164.1448377697
3420.0,410235.42826804164
3424.0,408315.34338481474
3428.0,410124.91581903555
3432.0,412128.4589949238
3436.0,412315.4380623422
3440.0,411660.7111700067
3444.0,413655.8630689301
3448.0,410862.77128112974
3452.0,410354.4266334288
3456.0,413409.2951817147
3460.0,415980.6273910915
3464.0,414584.8432631266
3468.0,414246.58490755985
3472.0,414575.4736410722
3476.0,411779.6827032602
3480.0,413465.723548601
3484.0,413031.1730515432
3488.0,410643.31566645403
3492.0,410611.5662251441
3496.0,412979.08941030264
3500.0,411009.44396099035
3504.0,412009.12463971926
3508.0,411787.1389097262
3512.0,411666.75352393487
3516.0,411443.2999293713
3520.0,409159.33638193394
3524.0,407610.08615739393
3528.0,407197.26057235565
3532.0,405666.02437223744
3536.0,405028.22759485914
3540.0,405205.3396696063
3544.0,406954.0126470422
3548.0,409535.29700075765
3552.0,409254.05450246355
3556.0,409008.7089722057
3560.0,408504.4146375504
3564.0,409998.7759657628
3568.0,408197.51997378375
3572.0,408988.72334779956
3576.0,408418.47452102404
3580.0,409836.2533379027
3584.0,406873.9188587363
3588.0,405333.1525251581
3592.0,405421.1667798075
3596.0,405634.4749165152
3600.0,402692.31850166584
3604.0,403387.99003449874
3608.0,402782.4143886987
3612.0,403751.74881745706
3616.0,402298.21171890054
3620.0,399632.7598255953
3624.0,400471.4003243338
3628.0,398252.75458055106
3632.0,399033.31316702947
3636.0,399704.89702654217
3640.0,399886.31464258523
3644.0,400327.9642595626
3648.0,398520.62439194287
3652.0,399374.6692505577
3656.0,400579.9123457839
3660.0,402540.2783423819
3664.0,399668.55664421164
3668.0,399035.133023354
3672.0,396845.6576167017
3676.0,396895.19216844975
3680.0,395177.2994045117
3684.0,395420.69800040504
3688.0,396479.2069596557
3692.0,394356.7680135458
3696.0,397405.2201189558
3700.0,397813.0856265442
3704.0,396833.9430126123
3708.0,400395.9285886667
3712.0,398267.80700419465
3716.0,399764.8805620128
3720.0,396680.3841548037
3724.0,397292.5346740277
3728.0,400020.59105236456
3732.0,398059.39636789414
3736.0,397828.353194149
3740.0,399137.55366858025
3744.0,401801.3057612903
3748.0,400057.28727046057
3752.0,401381.95033715625
3756.0,400752.108590548
3760.0,401885.4052020601
3764.0,398780.2452752474
3768.0,402648.4091226582
3772.0,400844.309613842
3776.0,401828.55580675777
3780.0,404359.815478869
3784.0,406491.18676064664
3788.0,404741.2576923403
3792.0,406291.55732473603
3796.0,406760.7124401173
3800.0,404229.2939330353
3804.0,403265.64449683
3808.0,404918.5136090752
3812.0,404170.6567176229
3816.0,404307.63020170986
3820.0,403913.58165269106
3824.0,405557.3760333779
3828.0,404830.8144190877
3832.0,408003.8713669185
3836.0,409050.1556125826
3840.0,409580.56428552873
3844.0,409774.08295145305
3848.0,408150.4151935803
3852.0,409909.93759967847
3856.0,408092.90749585384
3860.0,411017.98422569846
3864.0,411623.01129556383
3868.0,411592.1512710606
3872.0,412348.92079641816
3876.0,415385.94290597795
3880.0,412699.6515160005
3884.0,413179.38702538965
3888.0,415854.8007450268
3892.0,417851.67382715846
3896.0,415834.81926173484
3900.0,415825.2512340063
3904.0,419947.9049629627
3908.0,419117.49910462013
3912.0,418663.913002916
3916.0,418273.23415526445
3920.0,418944.34777414444
3924.0,419283.8843808231
3928.0,419909.1554779161
3932.0,420285.6627599724
3936.0,420254.0355728108
3940.0,418048.7947828437
3944.0,417574.9661259372
3948.0,416212.47794132686
3952.0,415998.6355781072
3956.0,415304.35749678244
3960.0,416871.96352952695
3964.0,415236.52548437606
3968.0,413351.01894362894
3972.0,412752.6688009269
3976.0,412195.42851630773
3980.0,410068.8306647636
3984.0,408433.4768593157
3988.0,410005.1561412125
3992.0,408583.91750465124
3996.0,404371.89238436206
4000.0,405988.1069687951
4004.0,404141.4707537711
4008.0,405769.75334252015
4012.0,403255.16817761766
4016.0,403085.0647249453
4020.0,400917.55723167595
4024.0,400632.5808409148
4028.0,399370.53619833523
4032.0,399189.6389636982
4036.0,399557.3842267762
4040.0,400812.44465034275
4044.0,398572.70296930673
