original_row_index,doi,anion_name,composition_summary,cluster_id,conductivity,best_predicted_conductivity_ms_cm,best_abs_error_ms_cm,q_scale_opt,weighted_permittivity,weighted_viscosity_mpa_s_25c,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,temperature,anion_tfsi
148,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,7.455150015,5.4550241827529,2.0001258322471003,0.7,46.05,1.245,46.05,1.245,274.8468914,0
149,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,7.508506032,5.510584754083919,1.997921277916081,0.7,46.05,1.245,46.05,1.245,275.3046706,0
150,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,7.667800804,5.6346863247337655,2.033114479266234,0.7,46.05,1.245,46.05,1.245,276.526446,0
151,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,7.772966285,5.6661075108257535,2.1068587741742464,0.7,46.05,1.245,46.05,1.245,277.1388803,0
152,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,7.982523972,5.766686212125698,2.2158377598743018,0.7,46.05,1.245,46.05,1.245,278.2121868,0
153,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,8.242344572,5.926613797629942,2.315730774370058,0.7,46.05,1.245,46.05,1.245,279.1370244,0
154,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,8.501391896,6.033491717205496,2.467900178794504,0.7,46.05,1.245,46.05,1.245,279.9103,0
155,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,8.813795237,6.2028459956013124,2.6109492413986883,0.7,46.05,1.245,46.05,1.245,281.1413548,0
156,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,8.92205382,6.3500244179648835,2.572029402035117,0.7,46.05,1.245,46.05,1.245,282.3600371,0
157,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,9.07825549,6.39611779520967,2.68213769479033,0.7,46.05,1.245,46.05,1.245,282.9755645,0
158,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,9.182647696,6.446165504930305,2.736482191069695,0.7,46.05,1.245,46.05,1.245,283.4364367,0
159,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,9.341169193,6.554497083130202,2.786672109869799,0.7,46.05,1.245,46.05,1.245,284.5066502,0
160,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,9.500463965,6.626128670727896,2.874335294272104,0.7,46.05,1.245,46.05,1.245,285.7284256,0
161,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,9.658985462,6.729671898040699,2.929313563959301,0.7,46.05,1.245,46.05,1.245,286.798639,0
162,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,9.612588927,6.789522564146431,2.8230663628535684,0.7,46.05,1.245,46.05,1.245,287.704918,0
163,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,9.821373337,6.94975725345717,2.871616083542831,0.7,46.05,1.245,46.05,1.245,288.6266625,0
164,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,9.976028457,7.003353625140826,2.972674831859174,0.7,46.05,1.245,46.05,1.245,288.9390659,0
165,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,10.1299103,7.036365911791991,3.0935443882080094,0.7,46.05,1.245,46.05,1.245,289.0999072,0
166,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,1,10.28456542,7.06890656533738,3.21565885466262,0.7,46.05,1.245,46.05,1.245,289.4123105,0
