original_row_index,doi,q_scale,temperature,anion_name,salt_conc,solvents,solvent_fracs,conductivity,conductivity_mS_cm,conductivity_uncertainty_mS_cm
10881,10.1149/1.1872737,0.75,333.0,PF6,3.330634278,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",7.747834456,11.9093,2.4378
10881,10.1149/1.1872737,0.80,333.0,PF6,3.330634278,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",7.747834456,8.1804,2.3115
10881,10.1149/1.1872737,0.85,333.0,PF6,3.330634278,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",7.747834456,4.7798,0.7406
10881,10.1149/1.1872737,0.90,333.0,PF6,3.330634278,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",7.747834456,2.5985,0.1609
11916,10.1149/2.0571912jes,0.70,323.15,PF6,2.005,"[""EC"",""DMC""]","[0.5,0.5]",13.108,18.0070,3.8831
11916,10.1149/2.0571912jes,0.75,323.15,PF6,2.005,"[""EC"",""DMC""]","[0.5,0.5]",13.108,14.0580,1.8957
11916,10.1149/2.0571912jes,0.80,323.15,PF6,2.005,"[""EC"",""DMC""]","[0.5,0.5]",13.108,11.6043,2.9189
11916,10.1149/2.0571912jes,0.85,323.15,PF6,2.005,"[""EC"",""DMC""]","[0.5,0.5]",13.108,9.6562,1.3826
11916,10.1149/2.0571912jes,0.90,323.15,PF6,2.005,"[""EC"",""DMC""]","[0.5,0.5]",13.108,10.8718,2.3580
11928,10.1149/2.0571912jes,0.70,273.15,PF6,1.999,"[""EC"",""EMC""]","[0.3,0.7]",2.637,3.5878,0.9963
11928,10.1149/2.0571912jes,0.75,273.15,PF6,1.999,"[""EC"",""EMC""]","[0.3,0.7]",2.637,3.7381,0.9838
11928,10.1149/2.0571912jes,0.80,273.15,PF6,1.999,"[""EC"",""EMC""]","[0.3,0.7]",2.637,2.2841,0.9582
11928,10.1149/2.0571912jes,0.85,273.15,PF6,1.999,"[""EC"",""EMC""]","[0.3,0.7]",2.637,1.5927,0.3312
11928,10.1149/2.0571912jes,0.90,273.15,PF6,1.999,"[""EC"",""EMC""]","[0.3,0.7]",2.637,0.6496,0.1660
11887,10.1149/2.0571912jes,0.70,263.15,PF6,3.0,"[""EC"",""DMC""]","[0.5,0.5]",0.756,1.5893,0.2667
11887,10.1149/2.0571912jes,0.75,263.15,PF6,3.0,"[""EC"",""DMC""]","[0.5,0.5]",0.756,0.8448,0.2341
11887,10.1149/2.0571912jes,0.80,263.15,PF6,3.0,"[""EC"",""DMC""]","[0.5,0.5]",0.756,0.6629,0.2862
11887,10.1149/2.0571912jes,0.85,263.15,PF6,3.0,"[""EC"",""DMC""]","[0.5,0.5]",0.756,0.3162,0.1363
11887,10.1149/2.0571912jes,0.90,263.15,PF6,3.0,"[""EC"",""DMC""]","[0.5,0.5]",0.756,0.1485,0.0698
13616,10.1016/0378-7753(91)80004-H,0.70,213.15,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",0.01,0.1638,0.0832
13616,10.1016/0378-7753(91)80004-H,0.75,213.15,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",0.01,0.0852,0.0196
13616,10.1016/0378-7753(91)80004-H,0.80,213.15,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",0.01,0.0863,0.0285
13616,10.1016/0378-7753(91)80004-H,0.85,213.15,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",0.01,0.1198,0.0428
13616,10.1016/0378-7753(91)80004-H,0.90,213.15,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",0.01,0.0981,0.0307
11913,10.1149/2.0571912jes,0.70,323.15,PF6,0.501,"[""EC"",""DMC""]","[0.5,0.5]",14.172,10.8937,4.5055
11913,10.1149/2.0571912jes,0.75,323.15,PF6,0.501,"[""EC"",""DMC""]","[0.5,0.5]",14.172,12.0960,0.4066
11913,10.1149/2.0571912jes,0.80,323.15,PF6,0.501,"[""EC"",""DMC""]","[0.5,0.5]",14.172,12.0927,0.8429
11913,10.1149/2.0571912jes,0.85,323.15,PF6,0.501,"[""EC"",""DMC""]","[0.5,0.5]",14.172,12.4911,2.7061
11913,10.1149/2.0571912jes,0.90,323.15,PF6,0.501,"[""EC"",""DMC""]","[0.5,0.5]",14.172,11.4456,1.7498
11923,10.1149/2.0571912jes,0.70,263.15,PF6,3.002,"[""EC"",""EMC""]","[0.3,0.7]",0.35,1.1487,0.4312
11923,10.1149/2.0571912jes,0.75,263.15,PF6,3.002,"[""EC"",""EMC""]","[0.3,0.7]",0.35,0.4131,0.1757
11923,10.1149/2.0571912jes,0.80,263.15,PF6,3.002,"[""EC"",""EMC""]","[0.3,0.7]",0.35,0.3893,0.1159
11923,10.1149/2.0571912jes,0.85,263.15,PF6,3.002,"[""EC"",""EMC""]","[0.3,0.7]",0.35,0.2099,0.0484
11923,10.1149/2.0571912jes,0.90,263.15,PF6,3.002,"[""EC"",""EMC""]","[0.3,0.7]",0.35,0.1751,0.0503
11918,10.1149/2.0571912jes,0.70,263.15,PF6,0.111,"[""EC"",""EMC""]","[0.3,0.7]",1.417,1.5576,0.2526
11918,10.1149/2.0571912jes,0.75,263.15,PF6,0.111,"[""EC"",""EMC""]","[0.3,0.7]",1.417,1.3860,0.2805
11918,10.1149/2.0571912jes,0.80,263.15,PF6,0.111,"[""EC"",""EMC""]","[0.3,0.7]",1.417,1.5514,0.3747
11918,10.1149/2.0571912jes,0.85,263.15,PF6,0.111,"[""EC"",""EMC""]","[0.3,0.7]",1.417,1.7514,0.4595
11918,10.1149/2.0571912jes,0.90,263.15,PF6,0.111,"[""EC"",""EMC""]","[0.3,0.7]",1.417,1.2852,0.3331
4369,10.1149/1.1466857,0.70,283.0091549,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",6.493506494,8.9948,0.8128
4369,10.1149/1.1466857,0.75,283.0091549,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",6.493506494,7.2371,1.5638
4369,10.1149/1.1466857,0.80,283.0091549,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",6.493506494,6.2479,0.8725
4369,10.1149/1.1466857,0.85,283.0091549,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",6.493506494,5.7605,0.8856
4369,10.1149/1.1466857,0.90,283.0091549,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",6.493506494,4.2728,1.0575
10893,10.1149/1.1872737,0.70,293.0,PF6,0.955465587,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",10.77959577,13.0705,3.3656
10893,10.1149/1.1872737,0.75,293.0,PF6,0.955465587,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",10.77959577,10.0245,2.4671
10893,10.1149/1.1872737,0.80,293.0,PF6,0.955465587,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",10.77959577,8.6804,2.0023
10893,10.1149/1.1872737,0.85,293.0,PF6,0.955465587,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",10.77959577,8.4277,1.5206
10893,10.1149/1.1872737,0.90,293.0,PF6,0.955465587,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",10.77959577,7.6888,2.1738
13640,10.1016/0378-7753(91)80004-H,0.70,313.15,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",10.34,11.0346,1.2056
13640,10.1016/0378-7753(91)80004-H,0.75,313.15,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",10.34,10.7415,1.6828
13640,10.1016/0378-7753(91)80004-H,0.80,313.15,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",10.34,10.0416,1.2164
13640,10.1016/0378-7753(91)80004-H,0.85,313.15,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",10.34,11.3111,1.3988
13640,10.1016/0378-7753(91)80004-H,0.90,313.15,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",10.34,7.8835,1.4915
12013,10.1149/2.0641503jes,0.70,313.15,PF6,1.201388889,"[""EC"",""DEC""]","[0.5,0.5]",10.204806,13.3322,1.6763
12013,10.1149/2.0641503jes,0.75,313.15,PF6,1.201388889,"[""EC"",""DEC""]","[0.5,0.5]",10.204806,12.6643,2.5968
12013,10.1149/2.0641503jes,0.80,313.15,PF6,1.201388889,"[""EC"",""DEC""]","[0.5,0.5]",10.204806,10.1070,2.3755
