sampling_order,salt_cluster_id,cluster_id,cluster_rank_in_sampling,original_row_index,doi,representative_doi,cation_name,anion_name,salt_conc,solvents,solvent_fracs,temperature,selection_reason,cluster_size,weighted_permittivity,weighted_viscosity_mPa_s_25C,solvent_entropy,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,conductivity,composition_summary,duplicate_identity,source_row_indices,source_dois,conductivity_std,replicate_count,original_salt,original_concentration,original_concentration_units,salt_conc_units,solvent_ratio_basis,composition_warning,anion_PF6,anion_ClO4,anion_TFSI,anion_FSI,anion_BF4,has_EC,frac_EC,has_PC,frac_PC,has_DME,frac_DME,has_DMC,frac_DMC,has_DEC,frac_DEC,has_EMC,frac_EMC
21,PF6,1,21,10881,10.1149/1.1872737,10.1149/1.1872737,Li,PF6,3.330634278,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",333.0,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,32.473,1.1377,0.8748608452408524,108.155686909494,3.7892626180805995,7.747834456,EC:0.270+PC:0.100+DMC:0.630,"('Li', 'PF6', 3.330634278, '[""EC"",""PC"",""DMC""]', '[0.27,0.1,0.63]', 333.0)","[10881,10882]","[""10.1149/1.1872737""]",0.10208471325769433,2,LiPF6,3.330634278,mol/l,mol/L,volume,,1,0,0,0,0,1,0.27,1,0.1,0,0.0,1,0.63,0,0.0,0,0.0
22,PF6,1,22,11916,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,2.005,"[""EC"",""DMC""]","[0.5,0.5]",323.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,46.05,1.2449999999999999,0.6931471805599453,92.33024999999999,2.4962249999999995,13.108,EC:0.500+DMC:0.500,"('Li', 'PF6', 2.005, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",[11916],"[""10.1149/2.0571912jes""]",0.0,1,LiPF6,2.005,mol/l,mol/L,weight,,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
23,PF6,1,23,11928,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,1.999,"[""EC"",""EMC""]","[0.3,0.7]",273.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,28.73,1.025,0.6108643020548935,57.431270000000005,2.048975,2.637,EC:0.300+EMC:0.700,"('Li', 'PF6', 1.999, '[""EC"",""EMC""]', '[0.3,0.7]', 273.15)",[11928],"[""10.1149/2.0571912jes""]",0.0,1,LiPF6,1.999,mol/l,mol/L,weight,,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
24,PF6,1,24,11887,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,3.0,"[""EC"",""DMC""]","[0.5,0.5]",263.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,46.05,1.2449999999999999,0.6931471805599453,138.14999999999998,3.7349999999999994,0.756,EC:0.500+DMC:0.500,"('Li', 'PF6', 3.0, '[""EC"",""DMC""]', '[0.5,0.5]', 263.15)",[11887],"[""10.1149/2.0571912jes""]",0.0,1,LiPF6,3.0,mol/l,mol/L,weight,,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
25,PF6,1,25,13616,10.1016/0378-7753(91)80004-H,10.1016/0378-7753(91)80004-H,Li,PF6,1.0,"[""EC"",""PC""]","[0.5,0.5]",213.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,76.95,2.215,0.6931471805599453,76.95,2.215,0.01,EC:0.500+PC:0.500,"('Li', 'PF6', 1.0, '[""EC"",""PC""]', '[0.5,0.5]', 213.15)",[13616],"[""10.1016/0378-7753(91)80004-H""]",0.0,1,LiPF6,1.0,mol/l,mol/L,volume,,1,0,0,0,0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0
26,PF6,1,26,11913,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,0.501,"[""EC"",""DMC""]","[0.5,0.5]",323.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,46.05,1.2449999999999999,0.6931471805599453,23.07105,0.623745,14.172,EC:0.500+DMC:0.500,"('Li', 'PF6', 0.501, '[""EC"",""DMC""]', '[0.5,0.5]', 323.15)",[11913],"[""10.1149/2.0571912jes""]",0.0,1,LiPF6,0.501,mol/l,mol/L,weight,,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
27,PF6,1,27,11923,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,3.002,"[""EC"",""EMC""]","[0.3,0.7]",263.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,28.73,1.025,0.6108643020548935,86.24745999999999,3.0770499999999994,0.35,EC:0.300+EMC:0.700,"('Li', 'PF6', 3.002, '[""EC"",""EMC""]', '[0.3,0.7]', 263.15)",[11923],"[""10.1149/2.0571912jes""]",0.0,1,LiPF6,3.002,mol/l,mol/L,weight,,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
28,PF6,1,28,11918,10.1149/2.0571912jes,10.1149/2.0571912jes,Li,PF6,0.111,"[""EC"",""EMC""]","[0.3,0.7]",263.15,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,28.73,1.025,0.6108643020548935,3.1890300000000003,0.11377499999999999,1.417,EC:0.300+EMC:0.700,"('Li', 'PF6', 0.111, '[""EC"",""EMC""]', '[0.3,0.7]', 263.15)",[11918],"[""10.1149/2.0571912jes""]",0.0,1,LiPF6,0.111,mol/l,mol/L,weight,,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
29,PF6,1,29,4369,10.1149/1.1466857,10.1149/1.1466857,Li,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",283.0091549,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,28.73,1.025,0.6108643020548935,28.73,1.025,6.493506494,EC:0.300+EMC:0.700,"('Li', 'PF6', 1.0, '[""EC"",""EMC""]', '[0.3,0.7]', 283.0091549)",[4369],"[""10.1149/1.1466857""]",0.0,1,LiPF6,1.0,mol/l,mol/L,weight,,1,0,0,0,0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
30,PF6,1,30,10893,10.1149/1.1872737,10.1149/1.1872737,Li,PF6,0.955465587,"[""EC"",""PC"",""DMC""]","[0.27,0.1,0.63]",293.0,maximin descriptor spread within salt family; exact duplicate simulation inputs excluded,242,32.473,1.1377,0.8748608452408524,31.026834006650997,1.0870331983299,10.77959577,EC:0.270+PC:0.100+DMC:0.630,"('Li', 'PF6', 0.955465587, '[""EC"",""PC"",""DMC""]', '[0.27,0.1,0.63]', 293.0)",[10893],"[""10.1149/1.1872737""]",0.0,1,LiPF6,0.955465587,mol/l,mol/L,volume,,1,0,0,0,0,1,0.27,1,0.1,0,0.0,1,0.63,0,0.0,0,0.0
