original_row_index,source_row_indices,doi,source_dois,conductivity,conductivity_std,replicate_count,cation_name,anion_name,salt_conc,solvents,solvent_fracs,temperature,original_salt,original_concentration,original_concentration_units,salt_conc_units,solvent_ratio_basis,composition_warning,composition_summary
54,[54],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",9.373393367,0.0,1,Li,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",297.8700566,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
55,[55],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",8.545933527,0.0,1,Li,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",292.706816,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
56,[56],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",6.873059177,0.0,1,Li,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",282.9062028,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
57,[57],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",5.348178506,0.0,1,Li,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",272.939314,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
58,[58],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",4.0,0.0,1,Li,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",263.0331754,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
59,[59],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",2.76382576,0.0,1,Li,PF6,1.0,"[""EC"",""EMC""]","[0.3,0.7]",253.1395384,LiPF6,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
60,[60],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",6.103022078,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",332.8117237,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
61,[61],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",5.419257645,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",322.9677005,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
62,[62],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",4.748984501,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",312.985053,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
63,[63],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",4.080006438,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",302.9428736,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
64,[64],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",3.719833623,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",298.0833662,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
65,[65],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",3.436529588,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",293.0645169,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
66,[66],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",2.856573625,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",283.0889854,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
67,[67],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",2.29739671,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",273.103041,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
68,[68],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",1.764240962,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",263.1804756,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
69,[69],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",1.293633165,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",253.3816835,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
70,[70],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",10.48660798,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",332.6559387,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
71,[71],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",9.311719622,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",322.8209929,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
72,[72],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",8.052985912,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",312.8506316,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
73,[73],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",6.827836782,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",302.8200851,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
74,[74],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",6.266322617,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",297.9629611,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
75,[75],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",5.75098679,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",292.9496041,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
76,[76],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",4.717737796,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",283.1288716,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
77,[77],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",3.695358381,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",273.0109204,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
78,[78],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",2.800557959,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",263.2220822,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
79,[79],10.1016/j.jpowsour.2010.12.040,"[""10.1016/j.jpowsour.2010.12.040""]",1.973767943,0.0,1,Li,BF4,1.0,"[""EC"",""EMC""]","[0.3,0.7]",253.1956308,LiBF4,1.0,mol/l,mol/L,volume,,EC:0.300+EMC:0.700
106,[106],10.1016/j.jpowsour.2011.06.030,"[""10.1016/j.jpowsour.2011.06.030""]",3.307854125,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",253.4239726,LiPF6,1.0,mol/l,mol/L,weight,,EC:0.500+DMC:0.500
107,[107],10.1016/j.jpowsour.2011.06.030,"[""10.1016/j.jpowsour.2011.06.030""]",4.071672861,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",258.3554795,LiPF6,1.0,mol/l,mol/L,weight,,EC:0.500+DMC:0.500
108,[108],10.1016/j.jpowsour.2011.06.030,"[""10.1016/j.jpowsour.2011.06.030""]",4.838902914,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",263.2869863,LiPF6,1.0,mol/l,mol/L,weight,,EC:0.500+DMC:0.500
109,[109],10.1016/j.jpowsour.2011.06.030,"[""10.1016/j.jpowsour.2011.06.030""]",5.818420512,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",268.2184932,LiPF6,1.0,mol/l,mol/L,weight,,EC:0.500+DMC:0.500
110,[110],10.1016/j.jpowsour.2011.06.030,"[""10.1016/j.jpowsour.2011.06.030""]",6.715351084,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",273.15,LiPF6,1.0,mol/l,mol/L,weight,,EC:0.500+DMC:0.500
111,[111],10.1016/j.jpowsour.2011.06.030,"[""10.1016/j.jpowsour.2011.06.030""]",7.705930369,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",278.2184932,LiPF6,1.0,mol/l,mol/L,weight,,EC:0.500+DMC:0.500
112,[112],10.1016/j.jpowsour.2011.06.030,"[""10.1016/j.jpowsour.2011.06.030""]",8.7903169,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",283.15,LiPF6,1.0,mol/l,mol/L,weight,,EC:0.500+DMC:0.500
113,[113],10.1016/j.jpowsour.2011.06.030,"[""10.1016/j.jpowsour.2011.06.030""]",9.795252881,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",288.0815068,LiPF6,1.0,mol/l,mol/L,weight,,EC:0.500+DMC:0.500
114,[114],10.1016/j.jpowsour.2011.06.030,"[""10.1016/j.jpowsour.2011.06.030""]",10.91507623,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",293.0130137,LiPF6,1.0,mol/l,mol/L,weight,,EC:0.500+DMC:0.500
115,[115],10.1016/j.jpowsour.2011.06.030,"[""10.1016/j.jpowsour.2011.06.030""]",12.09193518,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",297.9445205,LiPF6,1.0,mol/l,mol/L,weight,,EC:0.500+DMC:0.500
116,[116],10.1016/j.jpowsour.2011.06.030,"[""10.1016/j.jpowsour.2011.06.030""]",13.31856972,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",303.0130137,LiPF6,1.0,mol/l,mol/L,weight,,EC:0.500+DMC:0.500
117,[117],10.1016/j.jpowsour.2011.06.030,"[""10.1016/j.jpowsour.2011.06.030""]",15.68921029,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",312.8760274,LiPF6,1.0,mol/l,mol/L,weight,,EC:0.500+DMC:0.500
118,[118],10.1016/j.jpowsour.2011.06.030,"[""10.1016/j.jpowsour.2011.06.030""]",16.97859662,0.0,1,Li,PF6,1.0,"[""EC"",""DMC""]","[0.5,0.5]",317.8075342,LiPF6,1.0,mol/l,mol/L,weight,,EC:0.500+DMC:0.500
119,[119],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",8.373333333,0.0,1,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.1,0.9]",298.0,LiTFSI,1.0,mol/l,mol/L,weight,,EC:0.100+DMC:0.900
120,[120],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",9.066666667,0.0,1,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.2,0.8]",298.0,LiTFSI,1.0,mol/l,mol/L,weight,,EC:0.200+DMC:0.800
121,[121],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",9.3,0.0,1,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.25,0.75]",298.0,LiTFSI,1.0,mol/l,mol/L,weight,,EC:0.250+DMC:0.750
122,[122],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",9.373333333,0.0,1,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.3,0.7]",298.0,LiTFSI,1.0,mol/l,mol/L,weight,,EC:0.300+DMC:0.700
123,[123],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",9.446666667,0.0,1,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.4,0.6]",298.0,LiTFSI,1.0,mol/l,mol/L,weight,,EC:0.400+DMC:0.600
124,[124],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",9.313333333,0.0,1,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.5,0.5]",298.0,LiTFSI,1.0,mol/l,mol/L,weight,,EC:0.500+DMC:0.500
125,[125],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",9.093333333,0.0,1,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.6,0.4]",298.0,LiTFSI,1.0,mol/l,mol/L,weight,,EC:0.600+DMC:0.400
126,[126],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",8.886666667,0.0,1,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.7,0.3]",298.0,LiTFSI,1.0,mol/l,mol/L,weight,,EC:0.700+DMC:0.300
127,[127],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",8.666666667,0.0,1,Li,TFSI,1.0,"[""EC"",""DMC""]","[0.8,0.2]",298.0,LiTFSI,1.0,mol/l,mol/L,weight,,EC:0.800+DMC:0.200
128,[128],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",7.906666667,0.0,1,Li,TFSI,1.0,"[""EC""]",[1.0],298.0,LiTFSI,1.0,mol/l,mol/L,weight,,EC:1.000
129,[129],10.1016/j.jpowsour.2011.07.071,"[""10.1016/j.jpowsour.2011.07.071""]",6.993333333,0.0,1,Li,TFSI,1.0,"[""DMC""]",[1.0],298.0,LiTFSI,1.0,mol/l,mol/L,weight,,DMC:1.000
