original_row_index,doi,conductivity,anion_name,composition_summary,solvent_entropy,weighted_permittivity,weighted_viscosity_mPa_s_25C,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,anion_PF6,anion_ClO4,anion_TFSI,anion_FSI,anion_BF4,has_EC,frac_EC,has_PC,frac_PC,has_DME,frac_DME,has_DMC,frac_DMC,has_DEC,frac_DEC,has_EMC,frac_EMC
74,10.1016/j.jpowsour.2010.12.040,6.266322617,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
75,10.1016/j.jpowsour.2010.12.040,5.75098679,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
76,10.1016/j.jpowsour.2010.12.040,4.717737796,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
77,10.1016/j.jpowsour.2010.12.040,3.695358381,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
78,10.1016/j.jpowsour.2010.12.040,2.800557959,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
79,10.1016/j.jpowsour.2010.12.040,1.973767943,BF4,EC:0.300+EMC:0.700,0.6108643020548935,28.73,1.025,28.73,1.025,0,0,0,0,1,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
106,10.1016/j.jpowsour.2011.06.030,3.307854125,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
107,10.1016/j.jpowsour.2011.06.030,4.071672861,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
108,10.1016/j.jpowsour.2011.06.030,4.838902914,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
109,10.1016/j.jpowsour.2011.06.030,5.818420512,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
110,10.1016/j.jpowsour.2011.06.030,6.715351084,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
111,10.1016/j.jpowsour.2011.06.030,7.705930369,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
112,10.1016/j.jpowsour.2011.06.030,8.7903169,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
113,10.1016/j.jpowsour.2011.06.030,9.795252881,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
114,10.1016/j.jpowsour.2011.06.030,10.91507623,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
115,10.1016/j.jpowsour.2011.06.030,12.09193518,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
116,10.1016/j.jpowsour.2011.06.030,13.31856972,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
117,10.1016/j.jpowsour.2011.06.030,15.68921029,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
118,10.1016/j.jpowsour.2011.06.030,16.97859662,PF6,EC:0.500+DMC:0.500,0.6931471805599453,46.05,1.2449999999999999,46.05,1.2449999999999999,1,0,0,0,0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
119,10.1016/j.jpowsour.2011.07.071,8.373333333,TFSI,EC:0.100+DMC:0.900,0.3250829733914482,11.690000000000001,0.7210000000000001,11.690000000000001,0.7210000000000001,0,0,1,0,0,1,0.1,0,0.0,0,0.0,1,0.9,0,0.0,0,0.0
120,10.1016/j.jpowsour.2011.07.071,9.066666667,TFSI,EC:0.200+DMC:0.800,0.5004024235381879,20.28,0.852,20.28,0.852,0,0,1,0,0,1,0.2,0,0.0,0,0.0,1,0.8,0,0.0,0,0.0
