original_row_index,doi,original_salt,rejection_reason
299,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
300,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
301,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
302,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
303,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
304,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
305,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
306,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
307,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
308,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
309,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
310,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
311,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.8
312,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.7
313,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.6
314,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
315,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.4
316,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.3
317,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.2
318,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.8
319,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.7
320,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.6
321,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
322,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.4
323,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.3
324,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.2
325,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.8
326,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.7
327,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.6
328,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
329,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.4
330,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.3
331,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.2
332,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.8
333,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.7
334,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.6
335,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
336,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.4
337,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.3
338,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.2
339,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.8
340,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.7
341,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.6
342,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
343,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.4
344,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.3
345,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.2
346,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.8
347,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.7
348,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.6
349,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
350,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.4
351,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.3
352,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.2
353,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.8
354,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.7
355,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.6
356,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.5
357,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.4
358,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.3
359,10.1016/S0013-4686(99)00431-4,LiClO4,unsupported nonzero solvent(s): 2-Glyme=0.2
360,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
361,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
362,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
363,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
364,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
365,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
366,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
367,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
368,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
369,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
370,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
371,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
372,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
373,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
374,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
375,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
376,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
377,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
378,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
379,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
380,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
381,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
382,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
383,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
384,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
385,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
386,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
387,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
388,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
389,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
390,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
391,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
392,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
393,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
394,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
395,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
396,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
397,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
398,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
399,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
400,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
401,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
402,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
403,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
404,10.1016/S0378-7753(01)00697-8,LiAsF6,unsupported or ambiguous salt: LiAsF6 | concentration unit mol/kg cannot be converted to mol/L without density
405,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
406,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
407,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
408,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
409,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
410,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
411,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
412,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
413,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
414,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
415,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
416,10.1016/S0378-7753(03)00153-8,LiPF6,concentration unit mol/kg cannot be converted to mol/L without density
