original_row_index,doi,conductivity,anion_name,composition_summary,salt_conc,temperature,replicate_count,cluster_id,pca1,pca2
76,10.1016/j.jpowsour.2010.12.040,4.717737796,BF4,EC:0.300+EMC:0.700,1.0,283.1288716,1,3,0.8204914953856425,-1.8236774823782305
77,10.1016/j.jpowsour.2010.12.040,3.695358381,BF4,EC:0.300+EMC:0.700,1.0,273.0109204,1,3,0.8204914953856425,-1.8236774823782305
78,10.1016/j.jpowsour.2010.12.040,2.800557959,BF4,EC:0.300+EMC:0.700,1.0,263.2220822,1,3,0.8204914953856425,-1.8236774823782305
79,10.1016/j.jpowsour.2010.12.040,1.973767943,BF4,EC:0.300+EMC:0.700,1.0,253.1956308,1,3,0.8204914953856425,-1.8236774823782305
106,10.1016/j.jpowsour.2011.06.030,3.307854125,PF6,EC:0.500+DMC:0.500,1.0,253.4239726,1,1,2.1312679500694593,0.4917041303147345
107,10.1016/j.jpowsour.2011.06.030,4.071672861,PF6,EC:0.500+DMC:0.500,1.0,258.3554795,1,1,2.1312679500694593,0.4917041303147345
108,10.1016/j.jpowsour.2011.06.030,4.838902914,PF6,EC:0.500+DMC:0.500,1.0,263.2869863,1,1,2.1312679500694593,0.4917041303147345
109,10.1016/j.jpowsour.2011.06.030,5.818420512,PF6,EC:0.500+DMC:0.500,1.0,268.2184932,1,1,2.1312679500694593,0.4917041303147345
110,10.1016/j.jpowsour.2011.06.030,6.715351084,PF6,EC:0.500+DMC:0.500,1.0,273.15,1,1,2.1312679500694593,0.4917041303147345
111,10.1016/j.jpowsour.2011.06.030,7.705930369,PF6,EC:0.500+DMC:0.500,1.0,278.2184932,1,1,2.1312679500694593,0.4917041303147345
112,10.1016/j.jpowsour.2011.06.030,8.7903169,PF6,EC:0.500+DMC:0.500,1.0,283.15,1,1,2.1312679500694593,0.4917041303147345
113,10.1016/j.jpowsour.2011.06.030,9.795252881,PF6,EC:0.500+DMC:0.500,1.0,288.0815068,1,1,2.1312679500694593,0.4917041303147345
114,10.1016/j.jpowsour.2011.06.030,10.91507623,PF6,EC:0.500+DMC:0.500,1.0,293.0130137,1,1,2.1312679500694593,0.4917041303147345
115,10.1016/j.jpowsour.2011.06.030,12.09193518,PF6,EC:0.500+DMC:0.500,1.0,297.9445205,1,1,2.1312679500694593,0.4917041303147345
116,10.1016/j.jpowsour.2011.06.030,13.31856972,PF6,EC:0.500+DMC:0.500,1.0,303.0130137,1,1,2.1312679500694593,0.4917041303147345
117,10.1016/j.jpowsour.2011.06.030,15.68921029,PF6,EC:0.500+DMC:0.500,1.0,312.8760274,1,1,2.1312679500694593,0.4917041303147345
118,10.1016/j.jpowsour.2011.06.030,16.97859662,PF6,EC:0.500+DMC:0.500,1.0,317.8075342,1,1,2.1312679500694593,0.4917041303147345
119,10.1016/j.jpowsour.2011.07.071,8.373333333,TFSI,EC:0.100+DMC:0.900,1.0,298.0,1,1,0.7176788323088429,-1.4767590440025762
120,10.1016/j.jpowsour.2011.07.071,9.066666667,TFSI,EC:0.200+DMC:0.800,1.0,298.0,1,1,0.9964926556279332,-1.0008322678230437
121,10.1016/j.jpowsour.2011.07.071,9.3,TFSI,EC:0.250+DMC:0.750,1.0,298.0,1,1,1.1019083674502972,-0.766919817685684
122,10.1016/j.jpowsour.2011.07.071,9.373333333,TFSI,EC:0.300+DMC:0.700,1.0,298.0,1,1,1.1896149355845669,-0.5351178738739113
123,10.1016/j.jpowsour.2011.07.071,9.446666667,TFSI,EC:0.400+DMC:0.600,1.0,298.0,1,1,1.3189027991436828,-0.07701101544258955
124,10.1016/j.jpowsour.2011.07.071,9.313333333,TFSI,EC:0.500+DMC:0.500,1.0,298.0,1,1,1.3926834906669598,0.37448071581146974
125,10.1016/j.jpowsour.2011.07.071,9.093333333,TFSI,EC:0.600+DMC:0.400,1.0,298.0,1,1,1.4132570333812562,0.819631427640442
126,10.1016/j.jpowsour.2011.07.071,8.886666667,TFSI,EC:0.700+DMC:0.300,1.0,298.0,1,1,1.3783234040597143,1.2581670122921522
127,10.1016/j.jpowsour.2011.07.071,8.666666667,TFSI,EC:0.800+DMC:0.200,1.0,298.0,1,1,1.279555358340654,1.6890950614260516
128,10.1016/j.jpowsour.2011.07.071,7.906666667,TFSI,EC:1.000,1.0,298.0,1,1,0.20435895490061454,2.3167288070134933
129,10.1016/j.jpowsour.2011.07.071,6.993333333,TFSI,DMC:1.000,1.0,298.0,1,1,-0.6655150690516196,-2.0551936842199074
130,10.1016/j.jpowsour.2011.07.071,5.037117229,PF6,EC:0.500+DMC:0.500,1.0,260.9124652,1,1,2.1312679500694593,0.4917041303147345
131,10.1016/j.jpowsour.2011.07.071,5.194092174,PF6,EC:0.500+DMC:0.500,1.0,261.6795546,1,1,2.1312679500694593,0.4917041303147345
132,10.1016/j.jpowsour.2011.07.071,5.247448191,PF6,EC:0.500+DMC:0.500,1.0,262.1373337,1,1,2.1312679500694593,0.4917041303147345
133,10.1016/j.jpowsour.2011.07.071,5.353386947,PF6,EC:0.500+DMC:0.500,1.0,262.90133,1,1,2.1312679500694593,0.4917041303147345
134,10.1016/j.jpowsour.2011.07.071,5.457005877,PF6,EC:0.500+DMC:0.500,1.0,263.2106403,1,1,2.1312679500694593,0.4917041303147345
135,10.1016/j.jpowsour.2011.07.071,5.615527374,PF6,EC:0.500+DMC:0.500,1.0,264.2808537,1,1,2.1312679500694593,0.4917041303147345
136,10.1016/j.jpowsour.2011.07.071,5.77250232,PF6,EC:0.500+DMC:0.500,1.0,265.0479431,1,1,2.1312679500694593,0.4917041303147345
137,10.1016/j.jpowsour.2011.07.071,6.033096195,PF6,EC:0.500+DMC:0.500,1.0,266.1243427,1,1,2.1312679500694593,0.4917041303147345
138,10.1016/j.jpowsour.2011.07.071,6.143674606,PF6,EC:0.500+DMC:0.500,1.0,267.7977111,1,1,2.1312679500694593,0.4917041303147345
139,10.1016/j.jpowsour.2011.07.071,6.196257346,PF6,EC:0.500+DMC:0.500,1.0,268.1039282,1,1,2.1312679500694593,0.4917041303147345
140,10.1016/j.jpowsour.2011.07.071,6.405041757,PF6,EC:0.500+DMC:0.500,1.0,269.0256727,1,1,2.1312679500694593,0.4917041303147345
141,10.1016/j.jpowsour.2011.07.071,6.562789978,PF6,EC:0.500+DMC:0.500,1.0,269.9443242,1,1,2.1312679500694593,0.4917041303147345
142,10.1016/j.jpowsour.2011.07.071,6.670275286,PF6,EC:0.500+DMC:0.500,1.0,271.0114445,1,1,2.1312679500694593,0.4917041303147345
143,10.1016/j.jpowsour.2011.07.071,6.880606248,PF6,EC:0.500+DMC:0.500,1.0,272.236313,1,1,2.1312679500694593,0.4917041303147345
144,10.1016/j.jpowsour.2011.07.071,6.98731828,PF6,EC:0.500+DMC:0.500,1.0,273.1518713,1,1,2.1312679500694593,0.4917041303147345
145,10.1016/j.jpowsour.2011.07.071,7.039127745,PF6,EC:0.500+DMC:0.500,1.0,273.3065264,1,1,2.1312679500694593,0.4917041303147345
146,10.1016/j.jpowsour.2011.07.071,7.091710486,PF6,EC:0.500+DMC:0.500,1.0,273.6127436,1,1,2.1312679500694593,0.4917041303147345
147,10.1016/j.jpowsour.2011.07.071,7.302041448,PF6,EC:0.500+DMC:0.500,1.0,274.8376121,1,1,2.1312679500694593,0.4917041303147345
148,10.1016/j.jpowsour.2011.07.071,7.455150015,PF6,EC:0.500+DMC:0.500,1.0,274.8468914,1,1,2.1312679500694593,0.4917041303147345
149,10.1016/j.jpowsour.2011.07.071,7.508506032,PF6,EC:0.500+DMC:0.500,1.0,275.3046706,1,1,2.1312679500694593,0.4917041303147345
150,10.1016/j.jpowsour.2011.07.071,7.667800804,PF6,EC:0.500+DMC:0.500,1.0,276.526446,1,1,2.1312679500694593,0.4917041303147345
151,10.1016/j.jpowsour.2011.07.071,7.772966285,PF6,EC:0.500+DMC:0.500,1.0,277.1388803,1,1,2.1312679500694593,0.4917041303147345
152,10.1016/j.jpowsour.2011.07.071,7.982523972,PF6,EC:0.500+DMC:0.500,1.0,278.2121868,1,1,2.1312679500694593,0.4917041303147345
153,10.1016/j.jpowsour.2011.07.071,8.242344572,PF6,EC:0.500+DMC:0.500,1.0,279.1370244,1,1,2.1312679500694593,0.4917041303147345
154,10.1016/j.jpowsour.2011.07.071,8.501391896,PF6,EC:0.500+DMC:0.500,1.0,279.9103,1,1,2.1312679500694593,0.4917041303147345
155,10.1016/j.jpowsour.2011.07.071,8.813795237,PF6,EC:0.500+DMC:0.500,1.0,281.1413548,1,1,2.1312679500694593,0.4917041303147345
156,10.1016/j.jpowsour.2011.07.071,8.92205382,PF6,EC:0.500+DMC:0.500,1.0,282.3600371,1,1,2.1312679500694593,0.4917041303147345
157,10.1016/j.jpowsour.2011.07.071,9.07825549,PF6,EC:0.500+DMC:0.500,1.0,282.9755645,1,1,2.1312679500694593,0.4917041303147345
158,10.1016/j.jpowsour.2011.07.071,9.182647696,PF6,EC:0.500+DMC:0.500,1.0,283.4364367,1,1,2.1312679500694593,0.4917041303147345
159,10.1016/j.jpowsour.2011.07.071,9.341169193,PF6,EC:0.500+DMC:0.500,1.0,284.5066502,1,1,2.1312679500694593,0.4917041303147345
160,10.1016/j.jpowsour.2011.07.071,9.500463965,PF6,EC:0.500+DMC:0.500,1.0,285.7284256,1,1,2.1312679500694593,0.4917041303147345
161,10.1016/j.jpowsour.2011.07.071,9.658985462,PF6,EC:0.500+DMC:0.500,1.0,286.798639,1,1,2.1312679500694593,0.4917041303147345
162,10.1016/j.jpowsour.2011.07.071,9.612588927,PF6,EC:0.500+DMC:0.500,1.0,287.704918,1,1,2.1312679500694593,0.4917041303147345
163,10.1016/j.jpowsour.2011.07.071,9.821373337,PF6,EC:0.500+DMC:0.500,1.0,288.6266625,1,1,2.1312679500694593,0.4917041303147345
164,10.1016/j.jpowsour.2011.07.071,9.976028457,PF6,EC:0.500+DMC:0.500,1.0,288.9390659,1,1,2.1312679500694593,0.4917041303147345
165,10.1016/j.jpowsour.2011.07.071,10.1299103,PF6,EC:0.500+DMC:0.500,1.0,289.0999072,1,1,2.1312679500694593,0.4917041303147345
166,10.1016/j.jpowsour.2011.07.071,10.28456542,PF6,EC:0.500+DMC:0.500,1.0,289.4123105,1,1,2.1312679500694593,0.4917041303147345
167,10.1016/j.jpowsour.2011.07.071,10.33792144,PF6,EC:0.500+DMC:0.500,1.0,289.8700897,1,1,2.1312679500694593,0.4917041303147345
168,10.1016/j.jpowsour.2011.07.071,10.2915249,PF6,EC:0.500+DMC:0.500,1.0,290.7763687,1,1,2.1312679500694593,0.4917041303147345
169,10.1016/j.jpowsour.2011.07.071,10.39978348,PF6,EC:0.500+DMC:0.500,1.0,291.995051,1,1,2.1312679500694593,0.4917041303147345
170,10.1016/j.jpowsour.2011.07.071,10.55907826,PF6,EC:0.500+DMC:0.500,1.0,293.2168265,1,1,2.1312679500694593,0.4917041303147345
171,10.1016/j.jpowsour.2011.07.071,10.66269719,PF6,EC:0.500+DMC:0.500,1.0,293.5261367,1,1,2.1312679500694593,0.4917041303147345
172,10.1016/j.jpowsour.2011.07.071,10.82044541,PF6,EC:0.500+DMC:0.500,1.0,294.4447881,1,1,2.1312679500694593,0.4917041303147345
173,10.1016/j.jpowsour.2011.07.071,11.03077637,PF6,EC:0.500+DMC:0.500,1.0,295.6696567,1,1,2.1312679500694593,0.4917041303147345
174,10.1016/j.jpowsour.2011.07.071,11.24188061,PF6,EC:0.500+DMC:0.500,1.0,297.0460872,1,1,2.1312679500694593,0.4917041303147345
175,10.1016/j.jpowsour.2011.07.071,11.40426848,PF6,EC:0.500+DMC:0.500,1.0,298.8741107,1,1,2.1312679500694593,0.4917041303147345
176,10.1016/j.jpowsour.2011.07.071,12.03448809,PF6,EC:0.500+DMC:0.500,1.0,302.3971543,1,1,2.1312679500694593,0.4917041303147345
177,10.1016/j.jpowsour.2011.07.071,13.49520569,PF6,EC:0.500+DMC:0.500,1.0,308.6978039,1,1,2.1312679500694593,0.4917041303147345
178,10.1016/j.jpowsour.2011.07.071,14.12387875,PF6,EC:0.500+DMC:0.500,1.0,311.9177235,1,1,2.1312679500694593,0.4917041303147345
179,10.1016/j.jpowsour.2011.07.071,14.59480359,PF6,EC:0.500+DMC:0.500,1.0,314.2189916,1,1,2.1312679500694593,0.4917041303147345
180,10.1016/j.jpowsour.2011.07.071,15.06418187,PF6,EC:0.500+DMC:0.500,1.0,316.2171358,1,1,2.1312679500694593,0.4917041303147345
181,10.1016/j.jpowsour.2011.07.071,15.38045159,PF6,EC:0.500+DMC:0.500,1.0,318.2060006,1,1,2.1312679500694593,0.4917041303147345
182,10.1016/j.jpowsour.2011.07.071,15.85137643,PF6,EC:0.500+DMC:0.500,1.0,320.5072688,1,1,2.1312679500694593,0.4917041303147345
183,10.1016/j.jpowsour.2011.07.071,16.90303124,PF6,EC:0.500+DMC:0.500,1.0,326.6316115,1,1,2.1312679500694593,0.4917041303147345
184,10.1016/j.jpowsour.2011.07.071,17.68171976,PF6,EC:0.500+DMC:0.500,1.0,329.2545623,1,1,2.1312679500694593,0.4917041303147345
