source_row_number,original_row_index,doi,anion_name,composition_summary,descriptor_name,descriptor_value,cluster_id,row_status,selected_k,best_silhouette_score,one_cluster_fallback_used
122,171,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
123,172,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
124,173,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
125,174,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
126,175,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
127,176,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
128,177,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
129,178,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
130,179,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
131,180,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
132,181,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
133,182,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
134,183,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
135,184,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
136,185,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
137,186,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
138,187,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
139,188,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
140,189,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
141,190,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
142,191,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
143,192,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
144,193,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
145,194,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
146,195,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
147,196,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
148,197,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
149,198,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
150,199,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
151,200,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
152,201,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
153,202,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
154,203,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
155,204,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
156,205,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
157,206,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
158,207,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
159,208,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
160,209,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
161,210,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
162,211,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
163,212,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
164,213,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,salt_conc_x_weighted_permittivity,46.05,1,clustered,6,0.8272216575775623,False
