source_row_number,original_row_index,doi,anion_name,composition_summary,criterion_name,features_used,weighted_permittivity,weighted_viscosity_mPa_s_25C,cluster_id,row_status,valid_feature_position,best_k,best_candidate_k,best_silhouette_score,one_cluster_fallback_used
42,65,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,42,6,6,0.9448105888567919,False
43,66,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,43,6,6,0.9448105888567919,False
44,67,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,44,6,6,0.9448105888567919,False
45,68,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,45,6,6,0.9448105888567919,False
46,69,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,46,6,6,0.9448105888567919,False
47,70,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,47,6,6,0.9448105888567919,False
48,71,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,48,6,6,0.9448105888567919,False
49,72,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,49,6,6,0.9448105888567919,False
50,73,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,50,6,6,0.9448105888567919,False
51,74,10.1016/j.jpowsour.2010.12.040,BF4,EC:0.300+EMC:0.700,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",28.73,1.025,3,clustered,51,6,6,0.9448105888567919,False
