doi,conductivity_mScm,temperature_K,concentration_molkg,salt,EC,PC,DMC,EMC,DEC,DME
10.1149/1.1403730,3.279069767,273.15,1.576196033,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,2.546511628,273.15,1.805834306,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,6.453488372,283.15,0.540023337,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,6.906976744,283.15,0.691248541,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,6.837209302,283.15,0.883547258,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,6.488372093,283.15,1.073978996,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,6.174418605,283.15,1.212135356,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,5.546511628,283.15,1.387631272,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,4.813953488,283.15,1.574329055,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,3.976744186,283.15,1.805834306,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,7.813953488,293.15,0.541890315,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,8.546511628,293.15,0.689381564,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,8.581395349,293.15,0.883547258,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,8.337209302,293.15,1.07957993,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,7.918604651,293.15,1.214002334,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,7.395348837,293.15,1.385764294,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,6.558139535,293.15,1.578063011,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,5.476744186,293.15,1.809568261,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,8.965116279,303.15,0.538156359,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,10.18604651,303.15,0.689381564,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,10.46511628,303.15,0.885414236,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,10.25581395,303.15,1.077712952,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,9.976744186,303.15,1.210268378,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,9.279069767,303.15,1.385764294,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,8.581395349,303.15,1.576196033,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,7.325581395,303.15,1.805834306,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,10.53488372,313.15,0.541890315,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,11.96511628,313.15,0.691248541,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,12.38372093,313.15,0.883547258,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,12.34883721,313.15,1.075845974,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,12.03488372,313.15,1.214002334,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,11.40697674,313.15,1.385764294,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,10.56976744,313.15,1.576196033,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,9.38372093,313.15,1.803967328,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,11.72093023,323.15,0.540023337,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,13.6744186,323.15,0.689381564,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,14.26744186,323.15,0.883547258,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,14.40697674,323.15,1.075845974,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,14.1627907,323.15,1.214002334,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,13.56976744,323.15,1.387631272,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,12.76744186,323.15,1.574329055,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,11.54651163,323.15,1.805834306,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,12.90697674,333.15,0.538156359,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,15.34883721,333.15,0.687514586,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,16.22093023,333.15,0.885414236,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,16.46511628,333.15,1.075845974,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,16.29069767,333.15,1.212135356,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,15.76744186,333.15,1.387631272,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,15.10465116,333.15,1.574329055,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1403730,13.84883721,333.15,1.809568261,PF6,0.5,0.0,0.0,0.5,0.0,0.0
10.1149/1.1513556,1.651813368,243.15,0.431092017,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,2.524527925,253.15,0.431231891,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,3.5064442,263.15,0.430152862,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,4.652113098,273.15,0.427794985,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,5.815865721,283.15,0.426516135,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,7.088620242,293.15,0.426216405,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,8.434109302,303.15,0.425836747,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,9.852732541,313.15,0.420981117,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,11.21640524,323.15,0.420581477,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,12.6164452,333.15,0.420141872,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,1.658507343,243.15,0.557458288,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,2.603956439,253.15,0.557518234,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,3.695074433,263.15,0.555220302,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,4.985912679,273.15,0.5559996,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,6.349785193,283.15,0.553401938,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,7.840943151,293.15,0.550664402,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,9.386652013,303.15,0.54786692,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,10.96852832,313.15,0.547227495,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,12.62333899,323.15,0.544310121,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,14.24158258,333.15,0.543630732,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,1.614347088,243.15,0.643221101,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,2.578079728,253.15,0.642162054,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,3.723648716,263.15,0.640903187,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,5.051153961,273.15,0.638345489,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,6.524028374,283.15,0.636726946,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,8.106004596,293.15,0.63498851,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,9.797182536,303.15,0.632031172,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,11.5064442,313.15,0.630152862,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,13.27005695,323.15,0.630412629,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,15.0158857,333.15,0.626296333,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,1.533819562,243.15,0.729023879,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,2.497552203,253.15,0.727964832,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,3.67948846,263.15,0.726666001,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,5.06134479,273.15,0.726246378,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,6.607053652,283.15,0.723448896,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,8.243580777,293.15,0.721650515,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,10.02567689,303.15,0.718593266,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,11.84394045,313.15,0.717694075,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,13.73503847,323.15,0.715615946,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,15.57158557,333.15,0.713597762,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,1.378159656,243.15,0.841282845,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,2.323708662,253.15,0.840243781,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,3.50574483,263.15,0.837845939,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,4.942052153,273.15,0.838465381,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,6.542311919,283.15,0.835607953,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,8.288040763,293.15,0.832590668,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,10.12468778,303.15,0.829473474,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,12.05205315,313.15,0.828454391,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,14.05245279,323.15,0.824058347,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,16.05245279,333.15,0.824058347,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,1.22249975,243.15,0.953541812,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,2.077030672,253.15,0.953701668,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,3.25896693,263.15,0.952402837,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,4.713657708,273.15,0.950804276,PF6,0.3,0.3,0.0,0.4,0.0,0.0
10.1149/1.1513556,6.313817564,283.15,0.949045859,PF6,0.3,0.3,0.0,0.4,0.0,0.0
