file,n_atoms,total_charge_e,mu_x_eA,mu_y_eA,mu_z_eA,mu_total_eA,mu_x_D,mu_y_D,mu_z_D,mu_total_D
coordinate_13,8,-2.220446049250313e-16,-0.18638931000000003,-1.51478663,2.4256654100000006,2.8658632539916318,-0.8952660121647198,-7.275830279754428,11.650967528430682,13.765327887154555
coordinate_13p5,8,-2.220446049250313e-16,-0.18656893,-1.515994,2.42796303,2.868457817142188,-0.8961287637951916,-7.281629525028244,11.662003467642375,13.777790105106368
coordinate_14,8,-2.220446049250313e-16,-0.18671586999999995,-1.5171256599999998,2.4301133399999997,2.8708855653937593,-0.8968345466956564,-7.2870651196732705,11.672331846767861,13.789451076949248
coordinate_14p5,8,-2.220446049250313e-16,-0.18683674000000006,-1.5181857300000003,2.4321209000000006,2.8731529632802832,-0.8974151100492653,-7.292156852892927,11.681974568420634,13.800341853163074
coordinate_15,8,-2.220446049250313e-16,-0.18693683000000003,-1.5191784499999998,2.4339995100000005,2.875274274923193,-0.8978958628089463,-7.296925090275187,11.690997916825713,13.810530947243128
coordinate_15p5,8,-2.220446049250313e-16,-0.18698807,-1.5200878,2.435762429999999,2.877250436342076,-0.8981419790184183,-7.301292884480564,11.699465582477591,13.820022855083105
coordinate_16,8,-2.220446049250313e-16,-0.18707448000000007,-1.5209825699999997,2.4374262399999997,2.879137286541163,-0.8985570239376318,-7.305590647961229,11.707457202510417,13.829085782851275
coordinate_16p5,8,-2.220446049250313e-16,-0.18723472000000008,-1.5217219999999998,2.43893691,2.880817234157319,-0.8993266894607741,-7.309142281621845,11.714713259773555,13.837154915158065
coordinate_17,8,-2.220446049250313e-16,-0.18715737999999998,-1.52259533,2.4404746599999996,2.8825754092353573,-0.8989552096083034,-7.313337064393474,11.72209938782031,13.845599789978424
coordinate_17p5,8,-2.220446049250313e-16,-0.1871773799999999,-1.5233400400000003,2.4418821499999996,2.884161695109948,-0.8990512737025544,-7.316914058974975,11.728859850421205,13.85321904576674
coordinate_18,8,-2.220446049250313e-16,-0.18715908999999997,-1.52402501,2.44322089,2.88565574409137,-0.8989634230883619,-7.320204110106942,11.735290092698113,13.860395268875118
coordinate_18p5,8,-2.220446049250313e-16,-0.18717809000000007,-1.5247131500000002,2.4445004199999993,2.887103761650964,-0.8990546839779012,-7.323509387397851,11.741435937223985,13.867350393641244
coordinate_19,8,-2.220446049250313e-16,-0.18717202000000013,-1.52535372,2.4457123199999997,2.8884677752034036,-0.8990255285252962,-7.326586176240582,11.74725694101515,13.873902029964333
coordinate_19p5,8,-2.220446049250313e-16,-0.18714999999999998,-1.52596715,2.44687667,2.8897761684202137,-0.8989197619575247,-7.329532606107414,11.752849552422234,13.880186510429208
coordinate_20,8,-2.220446049250313e-16,-0.18712103000000002,-1.52655144,2.4479903,2.8910257846875775,-0.8987806131170017,-7.3323390705889215,11.758198545286291,13.886188673173516
coordinate_20p5,8,-2.220446049250313e-16,-0.18710418000000018,-1.52709786,2.4490534999999998,2.8922134938576547,-0.8986996791175956,-7.334963637707964,11.763305312536696,13.891893483456393
coordinate_21,8,-2.220446049250313e-16,-0.18706165000000008,-1.5276446000000001,2.45009034,2.8933773965681002,-0.8984953988211696,-7.337589741852516,11.768285467310879,13.897483946440179
