file,n_atoms,total_charge_e,mu_x_eA,mu_y_eA,mu_z_eA,mu_total_eA,mu_x_D,mu_y_D,mu_z_D,mu_total_D
coordinate_25,10,0.0,-1.67779165,-0.07612794000000002,2.3387757,2.879349242271395,-8.058776759991039,-0.36565808016626633,11.233618463884815,13.83010384961358
coordinate_25p5,10,0.0,-1.6773259000000005,-0.07552373000000001,2.34033379,2.8803278037785365,-8.05653966739616,-0.3627559358468842,11.241102289115425,13.834804080856223
coordinate_26,10,0.0,-1.6785973400000014,-0.0759715,2.34030628,2.8810578235909756,-8.062646653995914,-0.36490666682103173,11.240970152953782,13.8383105154596
coordinate_26p5,10,0.0,-1.6775206899999997,-0.07592122999999999,2.34237313,2.8821088769664454,-8.057475283642118,-0.36466520972013083,11.250897656613958,13.84335893998582
coordinate_27,10,0.0,-1.6782085000000002,-0.07575997000000004,2.3427506100000004,2.8828117807415086,-8.060778975875474,-0.36389064492818196,11.25271077032886,13.846735130710686
coordinate_27p5,10,0.0,-1.6784991000000016,-0.07541468999999994,2.34353582,2.8836100193666416,-8.062174787164953,-0.3622321944050252,11.256482294701216,13.850569234236682
coordinate_28,10,0.0,-1.68006368,-0.07482867000000003,2.3430322799999996,2.884096663399323,-8.06968978519414,-0.3594174203793652,11.254063689000247,13.8529066851478
coordinate_28p5,10,0.0,-1.6807939500000009,-0.07508154999999998,2.34314164,2.884617528652438,-8.073197421499591,-0.36063205478707977,11.254588967467614,13.855408507586176
coordinate_29,10,0.0,-1.6814800900000004,-0.07530385000000012,2.3434015599999998,2.885234277195123,-8.076493092381073,-0.36169980719468475,11.255837416436506,13.858370877092872
coordinate_29p5,10,0.0,-1.6812560700000017,-0.07509421000000001,2.34459906,2.886071008384974,-8.075417078461369,-0.360692863358741,11.26158925407981,13.862389868287119
coordinate_30,10,0.0,-1.6816603000000003,-0.07479197000000007,2.3451525199999996,2.8867482649921037,-8.077358677902325,-0.35924114276641406,11.264247635760027,13.865642870414103
coordinate_30p5,10,0.0,-1.6790046400000005,-0.07431357999999993,2.3489347,2.8882647583242846,-8.06460299927534,-0.35694333766396696,11.282414220559819,13.872926898333816
coordinate_31,10,0.0,-1.6786158700000007,-0.07532693000000018,2.35025788,2.8891413063228977,-8.062735657379235,-0.3618106651594512,11.288769724971397,13.877137137811548
coordinate_31p5,10,0.0,-1.682642420000001,-0.07464266000000001,2.34702716,2.8888394780695243,-8.082076001314636,-0.35852397627078,11.273251915442401,13.87568739492256
coordinate_32,10,0.0,-1.6811273399999997,-0.07474466000000002,2.349314,2.8898187085161573,-8.07479876191871,-0.35901390315146214,11.284236076107296,13.880390839218519
coordinate_32p5,10,0.0,-1.6807632000000003,-0.07462481999999993,2.3506364499999997,2.8906790756330727,-8.073049722954677,-0.3584382870987073,11.290588074179432,13.884523358609027
coordinate_33,10,0.0,-1.68312041,-0.07460237000000004,2.34884488,2.8905937276743683,-8.084371885135193,-0.3583304551529106,11.281982796712535,13.88411341489157
coordinate_33p5,10,0.0,-1.681966870000001,-0.07355811000000001,2.3510986999999997,2.8917275882188593,-8.07883119637106,-0.35331466059976185,11.292808355557819,13.889559579202267
coordinate_34,10,0.0,-1.6830967400000008,-0.07359148999999993,2.35061142,2.8919896942128727,-8.08425819327965,-0.35347499157306705,11.290467849965477,13.890818527947905
coordinate_34p5,10,0.0,-1.6833017700000017,-0.073584,2.3511548899999997,2.8925505649360823,-8.085242994341874,-0.35343901556977025,11.293078247630618,13.893512504848768
coordinate_35,10,0.0,-1.6836077400000002,-0.07352434000000009,2.3515842499999997,2.8930761026299336,-8.08671263088777,-0.35315245637661874,11.295140551606007,13.896036769976508
coordinate_35p5,10,0.0,-1.6839100900000008,-0.07355434000000004,2.3519704399999997,2.893566723400454,-8.08816487983262,-0.3532965525179956,11.296995501233955,13.898393321973556
coordinate_36,10,0.0,-1.6845331100000003,-0.07367591999999998,2.35196192,2.8939255023245165,-8.091157372432644,-0.3538805261469496,11.296954577929805,13.900116610592384
coordinate_36p5,10,0.0,-1.6847607699999996,-0.07347696999999993,2.35242849,2.894432158095099,-8.092250870017503,-0.3529249285693835,11.299195609152548,13.902550181977297
coordinate_37,10,0.0,-1.6851539200000003,-0.07347875999999992,2.35270419,2.8948851217114058,-8.094139249950254,-0.352933526305819,11.300519852691803,13.904725858953764
coordinate_37p5,10,0.0,-1.68540993,-0.07326748000000011,2.35309978,2.8953502949391465,-8.095368918388719,-0.35191870521414803,11.30241995244405,13.90696018119341
coordinate_38,10,0.0,-1.6857131500000007,-0.07316530000000002,2.35343428,2.8957960728418244,-8.096825346121665,-0.35142791375661714,11.304026624420406,13.909101343716312
coordinate_38p5,10,0.0,-1.686457340000001,-0.07307031000000004,2.35328102,2.8961024134059232,-8.100399843036715,-0.35097165734097024,11.303290485266155,13.910572760157443
coordinate_39,10,0.0,-1.6868315800000002,-0.07344936000000013,2.3533757299999998,2.8964068972302113,-8.102197394368345,-0.3527923120872704,11.303745396784482,13.912035258297164
coordinate_39p5,10,0.0,-1.6872805900000016,-0.07278038999999996,2.35365736,2.8968803466559465,-8.104354081316343,-0.3495791122307015,11.305098123327685,13.91430933281002
coordinate_40,10,0.0,-1.6859288800000023,-0.07392660000000001,2.35550026,2.8976201968970483,-8.097861541474316,-0.3550845935042969,11.31394994929248,13.917862984974677
coordinate_40p5,10,0.0,-1.6857330300000006,-0.07312832000000016,2.35640146,2.898218666751896,-8.096920833831351,-0.35125029124634705,11.318278597379448,13.920737558201811
coordinate_41,10,0.0,-1.6891405800000014,-0.07105552000000002,2.3536208899999997,2.89789166115119,-8.113287994049674,-0.3412942085181307,11.304922950451816,13.919166883359463
coordinate_41p5,10,0.0,-1.6845761499999998,-0.07655267000000004,2.3583413899999996,2.8992121737154872,-8.09136410236347,-0.36769814530383643,11.327596478297503,13.925509575531304
coordinate_42,10,0.0,-1.68764002,-0.07176051000000004,2.3562553300000006,2.8991753289607156,-8.106080497186174,-0.3446804198084457,11.317576705074805,13.925332602631553
coordinate_42p5,10,0.0,-1.6889459100000002,-0.07213179,2.3553478099999996,2.899207579340625,-8.112352954188273,-0.34646375365412857,11.313217700734047,13.925487507808315
coordinate_43,10,0.0,-1.6885851,-0.07148193000000007,2.3563294799999994,2.8997789440879114,-8.110619909895929,-0.343342343039618,11.317932862704236,13.928231889655077
coordinate_43p5,10,0.0,-1.6894372400000006,-0.07149755000000002,2.3559245399999997,2.899946641876197,-8.114712912759702,-0.34341736909722814,11.315987852987929,13.929037376462059
coordinate_44,10,0.0,-1.6911230900000005,-0.06557642000000008,2.35532689,2.900303834281546,-8.122810395424388,-0.3149769695774872,11.313117217691463,13.930753044706726
coordinate_44p5,10,0.0,-1.6901864000000018,-0.07282624000000003,2.3559337599999997,2.900423694822058,-8.118311281602177,-0.34979933916677314,11.316032138535379,13.931328759419765
coordinate_45,10,0.0,-1.689625280000001,-0.07112991999999997,2.35726171,2.90113354083648,-8.115616107373855,-0.3416515669487457,11.322410554233437,13.934738295141434
coordinate_45p5,10,0.0,-1.6906192999999994,-0.07052309999999994,2.3567485400000003,2.901280890565102,-8.120390588922236,-0.33873688626506365,11.31994569367109,13.935446046052348
