cluster_id,q_scale,predicted_conductivity_ms_cm,weighted_permittivity
5,0.8049999999999999,5.307291187030987,76.95
5,0.81,5.21879535514895,76.95
5,0.815,5.131541183438973,76.95
5,0.8200000000000001,5.0455112505157675,76.95
5,0.825,4.960688379428627,76.95
5,0.8300000000000001,4.877055634231805,76.95
5,0.835,4.794596316603066,76.95
5,0.84,4.713293962509636,76.95
5,0.845,4.633132338920969,76.95
5,0.85,4.554095440567609,76.95
5,0.855,4.476167486745548,76.95
5,0.86,4.399332918165399,76.95
5,0.865,4.323576393845801,76.95
5,0.87,4.248882788050392,76.95
5,0.875,4.175237187267772,76.95
5,0.88,4.102624887233835,76.95
5,0.885,4.0310313899958725,76.95
5,0.89,3.9604424010178803,76.95
5,0.895,3.890843826326478,76.95
5,0.9,3.822221769696869,76.95
6,0.7,6.829695810237425,32.473
6,0.705,6.719839546500154,32.473
6,0.71,6.611524645157385,32.473
6,0.715,6.504729479786102,32.473
6,0.72,6.39943272739755,32.473
6,0.725,6.295613364179844,32.473
6,0.73,6.193250661300306,32.473
6,0.735,6.092324180766683,32.473
6,0.74,5.992813771346461,32.473
6,0.745,5.894699564543403,32.473
6,0.75,5.797961970630575,32.473
6,0.755,5.70258167473899,32.473
6,0.76,5.608539633001178,32.473
6,0.765,5.515817068748816,32.473
6,0.77,5.4243954687637475,32.473
6,0.775,5.334256579581584,32.473
6,0.78,5.2453824038471675,32.473
6,0.785,5.157755196721181,32.473
6,0.79,5.071357462337162,32.473
6,0.7949999999999999,4.986171950308244,32.473
6,0.8,4.902181652282886,32.473
6,0.8049999999999999,4.819369798548967,32.473
6,0.81,4.737719854685473,32.473
6,0.815,4.657215518261223,32.473
6,0.8200000000000001,4.577840715579859,32.473
6,0.825,4.499579598470555,32.473
6,0.8300000000000001,4.422416541123709,32.473
6,0.835,4.346336136971079,32.473
6,0.84,4.2713231956096465,32.473
6,0.845,4.197362739768676,32.473
6,0.85,4.124440002319316,32.473
6,0.855,4.0525404233261515,32.473
6,0.86,3.981649647140133,32.473
6,0.865,3.9117535195322954,32.473
6,0.87,3.842838084867683,32.473
6,0.875,3.774889583318936,32.473
6,0.88,3.7078944481189735,32.473
6,0.885,3.641839302852212,32.473
6,0.89,3.5767109587837966,32.473
6,0.895,3.512496412226315,32.473
6,0.9,3.4491828419434363,32.473
